E, s0, s1, 1
E, s0, s2, 1
E, s0, s3, 1
E, s1, s2, 1
E, s1, s4, 1
E, s2, s5, 1
E, s2, s6, 1
E, s3, s7, 1
E, s3, s8, 1
E, s4, s5, 1
E, s5, s9, 1
E, s6, s7, 1
E, s6, s10, 1
E, s7, s8, 1
E, s7, s11, 1
E, s8, s11, 1
E, s9, s12, 1
E, s9, s13, 1
E, s10, s13, 1
E, s11, s14, 1
E, s11, s15, 1
E, s12, s16, 1
E, s12, s17, 1
E, s12, s23, 1
E, s13, s18, 1
E, s14, s15, 1
E, s14, s18, 1
E, s15, s19, 1
E, s15, s20, 1
E, s16, s21, 1
E, s17, s18, 1
E, s17, s19, 1
E, s17, s23, 1
E, s19, s20, 1
E, s19, s23, 1
E, s20, s22, 1
E, s21, s22, 1
E, s21, s23, 1
