E	s0	s1	1.0	1	0
E	s1	s2	1.0	2	0
E	s2	s3	1.0	3	0
E	s3	s4	1.0	4	0
E	s4	s5	1.0	5	0
E	s5	s6	1.0	6	0
E	s6	s7	1.0	7	0
E	s7	s8	1.0	8	0
E	s7	s10	1.0	7	1
E	s8	s9	1.0	9	0
E	s9	s11	1.0	9	1
E	s10	s15	1.0	7	2
E	s11	s16	1.0	9	2
E	s12	s13	1.0	4	2
E	s12	s19	1.0	3	3
E	s13	s14	1.0	5	2
E	s14	s20	1.0	5	3
E	s15	s22	1.0	7	3
E	s16	s23	1.0	9	3
E	s17	s18	1.0	2	3
E	s17	s25	1.0	1	4
E	s18	s19	1.0	3	3
E	s20	s21	1.0	6	3
E	s21	s22	1.0	7	3
E	s23	s26	1.0	9	4
E	s24	s25	1.0	1	4
E	s24	s27	1.0	0	5
E	s26	s33	1.0	9	5
E	s27	s34	1.0	0	6
E	s28	s29	1.0	4	5
E	s28	s37	1.0	3	6
E	s29	s30	1.0	5	5
E	s30	s38	1.0	5	6
E	s31	s32	1.0	8	5
E	s31	s39	1.0	7	6
E	s32	s33	1.0	9	5
E	s33	s40	1.0	9	6
E	s34	s35	1.0	1	6
E	s35	s36	1.0	2	6
E	s36	s37	1.0	3	6
E	s36	s41	1.0	2	7
E	s38	s42	1.0	5	7
E	s39	s44	1.0	7	7
E	s40	s45	1.0	9	7
E	s41	s47	1.0	2	8
E	s42	s43	1.0	6	7
E	s43	s44	1.0	7	7
E	s45	s48	1.0	9	8
E	s46	s49	1.0	0	9
E	s47	s51	1.0	2	9
E	s48	s58	1.0	9	9
E	s49	s50	1.0	1	9
E	s50	s51	1.0	2	9
E	s51	s52	1.0	3	9
E	s52	s53	1.0	4	9
E	s53	s54	1.0	5	9
E	s54	s55	1.0	6	9
E	s55	s56	1.0	7	9
E	s56	s57	1.0	8	9
E	s57	s58	1.0	9	9
