E, s0, s1, 4.5
E, s0, s2, 5.4
E, s0, s3, 2.2
E, s1, s2, 4.2
E, s1, s4, 2.2
E, s2, s5, 1.4
E, s2, s6, 3.2
E, s3, s7, 2.2
E, s3, s8, 3.2
E, s4, s5, 1.4
E, s5, s9, 2.2
E, s6, s7, 1.4
E, s6, s10, 2
E, s7, s8, 2.2
E, s7, s11, 2.2
E, s8, s11, 3.2
E, s9, s12, 6
E, s9, s13, 3
E, s10, s13, 4
E, s11, s14, 4.1
E, s11, s15, 6
E, s12, s16, 3.2
E, s12, s17, 3.6
E, s12, s23, 5.1
E, s13, s18, 3.2
E, s14, s15, 1.4
E, s14, s18, 2
E, s15, s19, 3.2
E, s15, s20, 2.2
E, s16, s21, 4
E, s17, s18, 3.6
E, s17, s19, 4.1
E, s17, s23, 3.2
E, s19, s20, 4.5
E, s19, s23, 2.8
E, s20, s22, 3.6
E, s21, s22, 3.6
E, s21, s23, 2
